frame,molecule,x_nm,y_nm,z_nm,photons,background
1,1,26731.2360579993,-1599.42312519019,-1207.3,19775,52.718
2,1,26741.0670912288,-1581.83171554877,-1245.8,17282,52.725
3,1,26733.0887153448,-1584.98870017712,-1242.7,16017,52.736
4,1,26721.1586442124,-1593.32856398727,-1234.4,14571,52.917
5,1,26732.1302500776,-1589.1164382257,-1234.9,17547,52.807
6,1,26722.1278216777,-1590.23065075801,-1245,17072,52.95
7,1,26730.063348769,-1582.95436685239,-1248.8,15345,52.884
8,1,26720.0287837747,-1580.97910492674,-1235.4,18978,52.634
9,1,26720.2537399359,-1602.60542613244,-1236.4,14344,52.555
10,1,26717.1319635768,-1591.30266943383,-1236.3,17099,52.891
11,1,26731.1289360178,-1589.124876997,-1232.3,15201,52.559
12,1,26741.1099400214,-1585.95101482605,-1244,19138,52.873
13,1,26725.2495980368,-1601.53340745662,-1217.5,15514,52.65
14,1,26734.1543025935,-1591.15921032174,-1232.9,15289,52.847
15,1,26732.1409622757,-1590.14626304502,-1250.5,14574,52.65
16,1,26721.1907808068,-1596.41803844522,-1256,16942,52.865
17,1,26726.1009413224,-1587.10742121486,-1265.1,15665,52.663
18,1,26721.1800686087,-1595.38821362591,-1255.1,17578,52.627
19,1,26735.1556166533,-1591.15077155044,-1250.6,16114,52.646
20,1,26723.1291357375,-1590.22221198671,-1256.9,17869,52.891
21,1,26736.0926575242,-1584.96338386323,-1239.4,17437,52.978
22,1,26734.1221659991,-1588.06973586378,-1265.7,14411,52.668
23,1,26724.1411619955,-1591.24359803473,-1253.7,17950,53.005
24,1,26727.1129675804,-1588.12880726288,-1254.6,16351,52.656
25,1,26716.1842105078,-1596.46023230172,-1255.8,19469,52.806
26,1,26725.0889150645,-1586.08603516684,-1268.4,16301,52.75
27,1,26726.1223657188,-1589.16707085349,-1236,15927,52.982
28,1,26737.1582447729,-1591.13389400784,-1250.9,14687,52.662
29,1,26725.2174614424,-1598.44393299867,-1246.6,14945,52.71
30,1,26722.0635484887,-1584.0517018421,-1247.4,15317,52.891
31,1,26728.1464182347,-1591.20984294953,-1231.5,17556,52.93
32,1,26732.087401285,-1584.99713894842,-1226.4,18281,53.087
33,1,26729.1048835019,-1587.08210490096,-1226.8,16689,52.967
34,1,26724.2161473825,-1598.45237176996,-1228.1,16581,52.691
35,1,26735.1449044552,-1590.12094673112,-1233.2,18233,53.022
36,1,26726.1437901151,-1591.22672049213,-1236.5,20963,52.994
37,1,26731.1824970086,-1594.27400109359,-1249.8,13761,52.735
38,1,26722.1385338758,-1591.26047557733,-1246,18607,52.696
39,1,26724.0661766084,-1584.0348242995,-1243.1,16624,53.115
40,1,26738.2238320217,-1597.30440415245,-1251.1,18670,52.909
41,1,26728.1571304328,-1592.23966776885,-1236,16873,52.624
42,1,26722.0742606869,-1585.08152666142,-1262.7,13437,52.891
43,1,26737.1153959803,-1587.01459473056,-1252,17150,52.601
44,1,26743.1768413299,-1592.11308619936,-1223.4,18756,52.878
45,1,26742.100541883,-1584.91275123543,-1215.6,15344,52.89
46,1,26715.3328672222,-1610.88621854349,-1225.6,14591,52.823
47,1,26734.1435903954,-1590.12938550242,-1234.3,17270,52.606
48,1,26727.0486943915,-1581.94985834696,-1215.9,18686,52.932
49,1,26730.1490463543,-1591.19296540694,-1236,18884,52.93
50,1,26729.2227176816,-1598.41017791347,-1230.8,16707,52.846
51,1,26732.1088256813,-1587.05678858706,-1238.9,18256,52.859
52,1,26722.0421240924,-1581.99205220346,-1242.1,15849,52.696
53,1,26732.1623866721,-1592.20591268366,-1206.7,17464,53.051
54,1,26722.0314118943,-1580.96222738414,-1233.9,17366,52.614
55,1,26731.075375027,-1583.97575290041,-1221.6,14665,52.786
56,1,26724.0340400139,-1580.94534984154,-1247.6,19172,52.894
57,1,26729.1048835019,-1587.08210490096,-1247.8,15905,52.835
58,1,26730.1383341561,-1590.16314058762,-1243.7,19212,52.924
59,1,26720.189466747,-1596.42647721652,-1226,13964,52.59
60,1,26734.0793172064,-1583.95043658651,-1222.8,17343,52.83
61,1,26732.1302500776,-1589.1164382257,-1204.4,22598,52.863
62,1,26730.127621958,-1589.1333157683,-1233.7,19362,53.114
63,1,26726.0580925298,-1582.98812193758,-1223.5,20582,53.115
64,1,26725.0889150645,-1586.08603516684,-1202.7,18653,53.117
65,1,26736.1033697223,-1585.99320868255,-1222.1,18106,52.876
66,1,26731.0646628288,-1582.94592808109,-1204.4,20677,52.959
67,1,26731.1289360178,-1589.124876997,-1223.4,15083,52.888
68,1,26723.9483424286,-1572.70675128699,-1238.6,21112,53.094
69,1,26724.1840107881,-1595.36289731201,-1252.7,16270,52.64
70,1,26730.0526365709,-1581.92454203306,-1224,16932,52.812
71,1,26717.078402586,-1586.15354533723,-1228,20691,53.023
72,1,26732.0445524923,-1580.87783967115,-1223.8,15289,53.097
73,1,26727.155816373,-1592.24810654015,-1238.5,13893,52.575
74,1,26727.0701187878,-1584.0095079856,-1231.5,14506,52.772
75,1,26719.1345916964,-1591.28579189123,-1229.5,16806,53.052
76,1,26723.1505601338,-1592.28186162535,-1230.4,18440,53.089
77,1,26721.0836588253,-1586.11979025204,-1230,17534,52.625
78,1,26729.0941713037,-1586.05228008164,-1247.7,12895,52.609
79,1,26725.1103394608,-1588.14568480548,-1237.1,12741,52.664
80,1,26730.9896774418,-1575.73715434585,-1256.5,14732,52.556
81,1,26728.1035694421,-1587.09054367226,-1242,15485,52.85
82,1,26732.1623866721,-1592.20591268366,-1237.1,14712,52.792
83,1,26736.0498087316,-1580.84408458595,-1240,16259,52.984
84,1,26735.9748233445,-1573.63531085072,-1253.5,18991,53.074
85,1,26720.1251935581,-1590.24752830061,-1232.4,13063,52.872
86,1,26731.1503604141,-1591.18452663564,-1256.4,13491,52.785
87,1,26713.1052829413,-1589.27677488039,-1245.4,13313,53.019
