frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,1,26154,10606,-1207.3,NaN,NaN,NaN,19775,52.718
2,1,26164,10623,-1245.8,NaN,NaN,NaN,17282,52.725
3,1,26156,10620,-1242.7,NaN,NaN,NaN,16017,52.736
4,1,26144,10612,-1234.4,NaN,NaN,NaN,14571,52.917
5,1,26155,10616,-1234.9,NaN,NaN,NaN,17547,52.807
6,1,26145,10615,-1245,NaN,NaN,NaN,17072,52.95
7,1,26153,10622,-1248.8,NaN,NaN,NaN,15345,52.884
8,1,26143,10624,-1235.4,NaN,NaN,NaN,18978,52.634
9,1,26143,10603,-1236.4,NaN,NaN,NaN,14344,52.555
10,1,26140,10614,-1236.3,NaN,NaN,NaN,17099,52.891
11,1,26154,10616,-1232.3,NaN,NaN,NaN,15201,52.559
12,1,26164,10619,-1244,NaN,NaN,NaN,19138,52.873
13,1,26148,10604,-1217.5,NaN,NaN,NaN,15514,52.65
14,1,26157,10614,-1232.9,NaN,NaN,NaN,15289,52.847
15,1,26155,10615,-1250.5,NaN,NaN,NaN,14574,52.65
16,1,26144,10609,-1256,NaN,NaN,NaN,16942,52.865
17,1,26149,10618,-1265.1,NaN,NaN,NaN,15665,52.663
18,1,26144,10610,-1255.1,NaN,NaN,NaN,17578,52.627
19,1,26158,10614,-1250.6,NaN,NaN,NaN,16114,52.646
20,1,26146,10615,-1256.9,NaN,NaN,NaN,17869,52.891
21,1,26159,10620,-1239.4,NaN,NaN,NaN,17437,52.978
22,1,26157,10617,-1265.7,NaN,NaN,NaN,14411,52.668
23,1,26147,10614,-1253.7,NaN,NaN,NaN,17950,53.005
24,1,26150,10617,-1254.6,NaN,NaN,NaN,16351,52.656
25,1,26139,10609,-1255.8,NaN,NaN,NaN,19469,52.806
26,1,26148,10619,-1268.4,NaN,NaN,NaN,16301,52.75
27,1,26149,10616,-1236,NaN,NaN,NaN,15927,52.982
28,1,26160,10614,-1250.9,NaN,NaN,NaN,14687,52.662
29,1,26148,10607,-1246.6,NaN,NaN,NaN,14945,52.71
