frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,272.4044,3199.979,253.955,46.69237,590.048,32.56423,116.176,0
1,24025.04,5588.629,-856.2097,58.4058,705.8516,40.24829,108.5353,0
1,28625.54,6229.6,956.837,55.8661,784.6915,33.35764,59.67905,0
1,29371.16,6383.315,-803.0713,57.84546,649.5377,33.88172,122.1102,0
1,23684.04,7349.175,-929.665,48.72689,880.0757,50.47809,76.27169,0
1,17550.33,7644.71,506.7225,49.25209,773.8264,55.30729,334.2994,0
1,16485.79,7772.502,-1022.276,44.69801,1300.951,57.982,84.531,0
1,17503.1,7929.284,-976.4634,59.19178,1038.547,57.90399,73.522,0
1,247.7127,8287.058,-962.2697,63.87549,1714.205,80.93748,92.75266,0
1,24509.42,8593.057,-988.3747,53.26831,1041.435,52.82139,95.29218,0
1,17.53197,8806.062,-239.2124,62.69647,1882.573,88.32684,113.275,0
1,24358.34,8871.882,-729.5117,62.08015,813.0435,54.3115,122.0747,0
1,25545.01,8849.055,-1013.559,60.9675,906.6574,51.57944,80.80645,0
1,10.78682,9250.331,-13.30471,75.30672,1877.411,94.01492,227.257,0
1,24969.63,9714.359,-248.7637,45.85402,613.006,55.85814,82.1441,0
1,488.2965,10039.19,-824.3117,53.05472,2050.146,100.6587,111.1166,0
1,1396.031,10189.12,-668.4043,57.68929,1198.299,98.72687,180.1365,0
1,24.89883,10371.07,117.5843,73.84079,1754.151,110.3613,360.3463,0
1,18899.26,11111.62,-911.2473,54.17124,1388.491,73.90715,93.0027,0
1,619.7148,11303.92,-966.6066,44.22321,2837.864,107.7509,80.90179,0
1,27.287,11487.39,-679.0054,65.06156,3582.681,114.3322,139.6696,0
1,19939.47,11418.28,-989.1009,61.44363,1459.306,70.06585,81.9098,0
1,1424.828,11628.65,-782.9612,67.44829,1621.246,109.3031,150.3129,0
1,16360.17,11723.72,-954.6423,46.69569,1430.936,78.75614,80.28201,0
1,211.2681,11919.72,855.8673,56.95704,2582.142,124.0435,116.2076,0
1,575.4623,12114.5,-543.4009,63.9775,2021.811,120.7602,189.6139,0
1,264.1205,12385.44,-609.8909,61.61639,2266.298,125.1551,175.4656,0
1,1995.241,12597.51,-483.6113,60.15941,1034.558,113.2256,191.1563,0
1,1380.248,12897.34,-724.2974,67.86927,1507.315,122.0946,206.4323,0
1,21983.99,12861.33,-996.5311,72.21076,1665.427,76.45662,190.8121,0
1,22382.07,12897.84,806.1461,66.56726,1345.477,75.11445,259.4384,0
1,14087.01,13014.56,-656.0981,32.31488,650.4905,83.71083,62.77047,0
1,284.5163,13338.01,-934.1169,61.68967,2530.861,135.1981,187.2114,0
1,23092.18,13357.4,-758.2069,60.12998,1270.517,73.77211,132.1264,0
1,15049.5,13535.24,-710.6472,31.56202,2899.14,87.58697,70.9604,0
1,536.8627,13669.83,865.6668,63.72754,2014.459,131.2469,156.9711,0
1,11870.15,13682.93,1028.225,43.46265,2243.853,96.50532,52.18346,0
1,13602.2,13675.1,385.2054,44.59484,1106.366,87.61593,85.43674,0
1,15757.29,13699.41,456.1219,12.8855,6446.238,92.50101,29.47835,0
1,15790.98,13707.64,433.7505,10.78248,5583.406,91.94964,27.45289,0
1,18037.75,13731.63,751.8179,50.08117,2268.021,89.74419,133.2478,0
1,42.85512,13827.63,-368.3831,65.65164,2574.867,138.2439,143.1598,0
1,12758.9,13861.34,-28.00928,9.685017,5677.843,95.07483,19.54652,0
1,19167.66,13842.22,237.8216,12.31532,7420.193,97.97684,23.79695,0
1,24629.13,13841.09,984.2806,53.76654,2091.126,76.15136,55.36219,0
1,17432.32,13961.62,785.1808,15.79233,7569.843,88.09061,33.19412,0
1,19736.25,13943.14,233.9576,18.55117,1422.856,99.06915,69.98975,0
1,20301.58,14046.76,560.0959,34.02303,5373.17,98.90862,81.29959,0
1,13292.19,14110,-573.2494,52.76657,1039.468,92.21569,99.60583,0
1,15492.84,14133.87,1045.796,18.99337,7458.49,92.49246,48.44787,0
1,20764.04,14139.84,83.43105,16.85861,5440.634,97.75584,247.1124,0
1,21.39432,14314.51,-337.2733,80.90915,1902.18,141.2316,197.1691,0
1,926.0551,14313.38,-853.1946,64.38107,1683.89,135.9478,170.9247,0
1,11441.57,14348.09,-70.95954,50.38248,1011.125,92.96065,87.10536,0
1,19476.7,14238.5,-709.2823,52.48788,3473.675,100.7948,110.9104,0
1,24113.03,14287.1,810.9127,56.03088,1971.776,83.70123,113.4739,0
1,17566.9,14568.58,61.24555,43.34196,1348.7,93.96507,105.5717,0
1,24043.58,14659.58,-971.8235,35.2626,3714.818,91.16502,67.63754,0
1,24839.52,14645.67,-955.3426,51.4389,3046.617,85.66943,82.13892,0
1,27417.07,14696.13,973.415,38.01473,1843.269,69.41285,73.26347,0
1,17.89255,14952.46,3.883846,77.64035,1845.028,142.2434,424.6583,0
1,21333.77,14942.67,-382.327,46.92423,2028.06,104.6519,72.34978,0
1,24973.68,14942,-812.5373,57.73708,2693.563,86.7445,105.382,0
1,25988.72,14946.85,492.9915,42.36426,1541.155,80.4975,99.61168,0
1,11193.17,15100.64,773.5648,18.65827,3542.91,94.50169,36.55897,0
1,23244.4,15104.23,150.7396,37.778,1586.535,100.7518,85.62505,0
1,23491.94,15104.74,793.384,46.54254,1918.911,103.7104,127.7637,0
1,26499.24,15061.84,-315.712,40.743,1370.248,80.06916,70.20789,0
1,436.7203,15623.98,-341.1263,53.93892,1473.21,137.5484,118.6247,0
1,9850.505,15545.43,53.23645,22.98347,1862.084,97.32902,44.99159,0
1,10551.02,15643.15,620.8027,28.00998,1997.116,100.2505,53.89396,0
1,17701.45,15571.33,897.5842,50.3908,1411.299,100.2273,120.7719,0
1,21099.06,15574.37,-918.9146,59.58063,1908.537,102.9918,105.4879,0
1,14267.25,15884.47,466.9282,71.30527,2136.118,98.54923,389.2075,0
1,15353.91,15938.44,817.6086,44.48615,2008.025,100.5418,115.9205,0
1,16186.06,15928.4,-869.1088,54.44949,1339.784,101.1673,106.6908,0
1,42673.06,15842.85,-753.7834,54.77001,603.9095,33.0149,105.6816,0
1,53.99886,16071.36,-70.79894,51.97979,1461.037,141.6911,275.7575,0
1,1208.045,16073.65,-909.6534,63.16582,1494.723,137.1385,138.6365,0
1,14803.46,16025.77,229.8871,14.09256,4471.446,95.75611,28.66104,0
1,17075.99,16094.51,602.3486,48.41151,1340.622,103.9833,106.376,0
1,17581.56,16149.92,888.7003,22.77022,750.5665,103.7031,57.52132,0
1,28214.89,16236.64,-793.9714,61.81183,1119.524,69.2751,132.2252,0
1,15984.63,16375.69,1059.977,28.0347,1220.871,102.357,43.70961,0
1,24427.76,16453.05,-784.6955,30.34005,3732.034,106.0102,78.71462,0
1,27314.44,16558.18,-809.8386,54.85506,1449.705,77.69937,185.7045,0
1,21985.43,16713.51,-869.7576,46.8128,2111.443,111.1157,104.0385,0
1,28184.13,16687.64,1056.756,54.37305,1426.245,71.50852,61.29909,0
1,32.1904,16895.88,272.2217,62.63538,1645.598,142.0236,148.3273,0
1,12567.78,16882.01,479.0141,54.02187,1160.369,98.95609,141.9915,0
1,21352.56,16838.34,-96.87851,45.79166,1570.855,116.0553,86.91341,0
1,24581.87,16810.35,947.6792,43.92464,3991.442,110.4855,62.60519,0
1,25292.77,16866.63,-845.3713,55.2681,3033.381,104.4687,98.61945,0
1,27557.02,17039.73,918.0512,69.98425,1499.427,76.88195,149.5295,0
1,10111.45,17189.66,647.6421,12.05247,7435.487,97.04075,23.41596,0
1,12879.38,17145.87,690.6079,40.4139,1598.112,104.5908,187.719,0
1,23801.34,17134.16,942.9061,40.46695,2581.552,116.1872,84.78239,0
1,24507.31,17194.75,-779.4482,46.05258,2373.363,113.4485,125.6374,0
1,27918.74,17210.81,-520.4904,68.11009,1186.656,74.67632,322.4786,0
1,25890.62,17252.83,-1020.437,50.58376,3593.927,96.52264,73.80254,0
1,9209.988,17501.2,1078.077,51.24583,2555.129,99.82587,50.4127,0
1,25429.84,17486.97,751.6252,35.86269,4833.221,110.0655,276.233,0
1,27477.22,17508.95,-688.9263,64.88618,1444.241,75.64829,217.6578,0
1,288.8196,17636.76,-918.1491,58.4044,2380.572,145.9094,118.2694,0
1,15995.23,17694.05,-201.3163,40.63013,1530.08,111.5064,66.51303,0
1,17086.88,17679.46,-400.9514,49.75806,1388.619,111.0985,75.3644,0
1,29937.3,17601.65,496.0002,49.7422,683.658,58.51101,104.0041,0
1,9722.675,17861.18,119.8537,38.45464,2985.308,104.846,69.542,0
1,25313.78,17797.68,-723.8912,47.05,4501.988,111.6241,107.6693,0
1,8918.654,17941.1,-945.6107,54.77235,2215.788,106.5717,83.82594,0
1,12695.6,18006.78,-117.405,45.65376,1422.6,104.2225,88.50949,0
1,22639.93,17992.55,-944.6754,25.28414,4567.582,117.133,78.20624,0
1,26196.29,17957.23,312.7826,42.03438,2909.954,102.2009,96.19599,0
1,444.6299,18095.44,667.7147,50.9652,1615.855,144.6469,137.5637,0
1,27566.71,18132.71,812.6918,50.57564,1366.861,74.4092,160.6884,0
1,10132.97,18372.93,-982.0296,56.7597,4339.221,104.0744,68.58589,0
1,18884.25,18352.07,-295.6836,40.81874,1272.308,113.7391,72.60644,0
1,25873.08,18321.57,-358.617,25.54041,5358.459,104.2178,57.13676,0
1,34.07997,18470.07,-733.4218,87.46738,2101.117,148.9929,189.6298,0
1,9825.556,18380.95,502.0394,9.205763,10334.08,102.4794,20.14371,0
1,12213.44,18517.96,1086.345,48.43496,2513.622,107.946,51.115,0
1,21011.91,18432.54,-868.0778,39.39241,2068.002,115.2483,96.50361,0
1,15840.56,18673.48,318.6879,45.23923,1023.669,109.873,85.77822,0
1,22748.21,18546.6,-83.00406,47.12016,2429.196,123.9763,121.046,0
1,24265.86,18636.21,681.0494,51.41048,1758.425,123.5921,143.8011,0
1,26320.35,18570.25,-756.9413,42.14965,2977.673,89.56345,106.7756,0
1,765.1025,18773.88,-989.183,55.66343,2317.012,142.2602,69.74137,0
1,12319.44,18707.77,-1055.368,46.43595,2523.022,110.5379,108.2252,0
1,17872.83,18762.7,-942.2454,57.10865,1982.947,109.759,87.18633,0
1,23682.43,18758.22,874.5356,59.54309,2053.363,122.3124,110.5984,0
1,23995.05,18789.29,873.7327,60.98003,1999.977,125.1686,93.30858,0
1,38.34308,18917.46,25.56369,75.94279,1819.067,143.9283,256.9449,0
1,16929.99,18917.42,-63.08499,48.19161,1287.398,110.4529,98.39079,0
1,12522.23,19066.02,896.0155,46.4228,3137.761,105.7763,100.1621,0
1,18840.77,19066.44,-623.6724,48.7328,2317.413,114.4294,161.131,0
1,22468.52,19065.81,-899.6262,65.80942,2436.198,118.5022,108.2794,0
1,24511.86,19067.76,-836.2056,65.88037,2184.179,120.0078,111.3722,0
1,24982.32,19134.47,-887.2819,35.58327,4213.164,113.3545,85.83055,0
1,885.3269,19228.6,890.1085,61.4696,1675.144,141.2894,126.7915,0
1,10781.74,19303.02,1045.365,12.54551,20011.55,95.62103,32.98658,0
1,21188.68,19211.57,-164.8673,42.93721,1903.493,121.9617,77.45855,0
1,27290.33,19204.22,-668.7324,65.66647,2070.694,82.12028,364.5757,0
1,11418.09,19421.41,-532.9636,39.98508,4092.536,101.4821,56.77154,0
1,15201.74,19358.81,926.0151,47.7984,1626.386,106.5184,81.8739,0
1,18851.3,19423.55,-76.02168,46.41499,1988.667,116.0089,133.9698,0
1,13794.19,19510.81,-929.1138,43.94942,2020.285,100.0813,110.9543,0
1,21309.93,19543.54,-144.6497,54.98673,1590.817,120.598,114.7421,0
1,23081.52,19571.37,-506.8005,49.59901,2193.911,122.2615,132.0176,0
1,218.3342,19745,-280.1393,88.18472,1567.179,147.6341,545.522,0
1,9986.691,19707.82,696.2252,23.19032,7470.352,103.5058,49.63358,0
1,10994.4,19677.37,505.4028,40.59796,4423.957,107.0352,119.1833,0
1,23381.12,19656.71,-588.8682,46.66872,2302.178,121.3318,119.0668,0
1,24768.97,19691.86,-179.8623,56.6655,1679.135,117.3762,127.0361,0
1,9574.644,19900.98,212.331,35.75987,3260.065,114.0437,52.16926,0
1,26195.19,19919.62,1096.694,51.7035,3007.387,94.2101,51.3156,0
1,27620.58,19888.29,-545.7861,53.54469,1937.326,73.53094,168.2956,0
1,30500.2,19897.61,-737.801,34.78117,1179.841,52.59244,61.64208,0
1,264.7737,20023.22,303.6038,54.46727,1815.769,146.8341,146.9973,0
1,771.4637,20042.98,-678.1865,72.06509,1707.914,143.1454,160.5504,0
1,9001.961,20016.3,-908.4056,50.00983,2480.64,112.008,82.80015,0
1,18377.08,20053.4,121.296,48.15315,1781.162,113.7769,94.3818,0
1,10300.55,20170.25,964.6815,17.28644,3373.096,103.4879,45.05326,0
1,14114.59,20197.47,496.0433,52.02581,867.7991,105.1,85.03297,0
1,20695.73,20209.04,439.7003,36.19105,1875.545,121.7066,74.12724,0
1,24342.42,20159.04,-1055.076,49.32994,2956.066,122.2671,55.11325,0
1,25384.35,20174.11,848.8871,57.02738,3064.435,99.13016,154.3207,0
1,11816.65,20300.17,-845.9133,44.7373,3252.632,106.9638,102.9935,0
1,18506.29,20283.36,-537.6362,49.85986,2264.352,110.5156,87.50906,0
1,24868.06,20284.67,-927.9603,55.27995,1817.056,112.3617,104.791,0
1,26529.85,20353.04,792.5892,44.27744,2317.173,89.60014,118.513,0
1,27294.46,20343.44,-624.4404,50.1244,2254.424,77.33798,105.9854,0
1,1382.544,20513.74,-895.6292,54.80889,1610.663,135.928,159.4099,0
1,10788.23,20477.93,978.4447,45.60306,3448.713,110.9972,85.43398,0
1,25093.6,20548.91,854.0096,53.08625,2846.945,111.2163,128.4404,0
1,1007.604,20685.65,920.5428,58.58985,1886.694,143.9329,155.9895,0
1,17280.25,20633.96,-927.1822,53.21468,2061.225,106.5513,91.29765,0
1,19307.04,20712.19,811.6118,52.3727,2462.66,119.6118,111.9267,0
1,19952.04,20681.35,-695.5372,43.09769,3152.823,119.7459,65.88405,0
1,17.30589,20895.85,301.1055,50.21567,2513.188,149.0752,95.70303,0
1,16839.29,20868.57,-152.6376,41.94097,1334.726,108.2074,81.38229,0
1,25171.59,20830.65,473.4796,41.37856,2743.383,109.1226,130.4806,0
1,17363.74,20980.83,771.4135,60.60785,1727.35,108.5293,324.8405,0
1,24620.47,20982.07,638.9208,44.19747,3070.095,117.3041,76.89335,0
1,26880.27,20986.43,-908.7433,59.7793,1774.109,81.35853,97.89485,0
1,28035.21,20997.69,794.5514,57.56645,1837.828,70.42973,111.4564,0
1,10197.87,21202.09,-930.9171,41.75911,6629.716,114.2778,80.95283,0
1,12131.66,21093.94,1048.435,21.87938,8090.117,102.6345,39.85178,0
1,20700.08,21137.07,-996.5645,55.29098,2388.332,117.691,83.92889,0
1,213.1102,21290.82,-575.5164,66.63427,1922.576,144.2491,139.5677,0
1,11111.25,21296.98,934.7651,44.02616,3812.205,107.0224,97.09174,0
1,27596.24,21333.01,501.1971,49.49367,1713.512,77.56591,111.4839,0
1,9912.88,21433.99,-234.8004,51.00966,3026.174,114.1268,160.8034,0
1,21837.86,21464.4,-994.0101,61.03153,1717.534,119.174,91.08962,0
1,22887.14,21489.73,460.875,37.9938,1460.447,115.3592,91.05745,0
1,25516.73,21482.63,-1054.941,9.799144,15120.14,105.3981,38.3271,0
1,10289.29,21626.73,1086.314,46.09827,6018.935,108.7429,40.99059,0
1,31237.83,21629.73,-613.6357,51.52627,678.869,49.55529,108.5974,0
1,19.38267,21735.9,-404.8307,64.9959,2520.572,148.411,145.3997,0
1,17105.31,21770.69,-260.0113,54.14563,1203.31,110.5402,85.3109,0
1,20895.11,21798.65,-617.4499,50.26537,1590.555,119.6242,139.7576,0
1,25792.75,21775.71,999.0442,51.94635,2998.561,90.42584,77.11071,0
1,1085.9,21925.37,-850.0804,65.1027,1753.752,143.3513,153.0467,0
1,10082.43,21896.6,-918.732,46.87268,3964.223,116.2218,104.1062,0
1,10873.55,21863.38,1068.583,31.98433,4305.599,100.6845,33.87576,0
1,11785.11,21932.09,-1033.293,61.39648,2745.176,101.1215,80.04929,0
1,12656.59,21907.45,694.154,42.42016,1570.104,98.06883,100.8316,0
1,17566.3,21935.7,468.8086,55.43264,1120.272,104.1835,158.8668,0
1,17894.89,21983.33,-400.3379,55.67504,1314.609,104.7375,150.4975,0
1,24978.81,21859.68,-929.4543,20.63858,5158.717,103.998,65.35596,0
1,26972.63,21958.75,723.899,44.34092,1916.285,82.29587,84.77407,0
1,622.9166,22136,-700.9658,57.82155,1733.633,144.7768,182.5722,0
1,20521.17,22051.78,-18.95492,46.42975,1244.629,118.6461,95.13784,0
1,17727.88,22242.15,-721.802,51.61941,1619.864,105.757,174.5843,0
1,10472.87,22376.6,846.2688,13.35411,11160.01,119.0332,33.69416,0
1,29962.34,22408.64,-436.708,44.81865,810.0289,55.91416,76.2571,0
1,238.5296,22595.59,-441.4599,63.74721,1717.878,145.7742,360.3832,0
1,1224.371,22545.16,541.4691,62.16525,1946.888,143.5413,445.48,0
1,21506.09,22637.93,-299.2769,48.32146,1261.121,118.2873,82.64494,0
1,22708.79,22598.08,211.6436,50.27687,1126.54,111.2372,99.07014,0
1,10405.91,22680.92,-834.9257,54.61263,3025.254,115.3462,99.23975,0
1,7066.443,22873.95,-847.538,45.89048,1380.958,116.3575,192.2139,0
1,10444.24,23045.92,-513.3423,38.12539,3461.641,111.9599,56.58643,0
1,21192.06,23017.06,-949.0274,62.92182,1584.791,116.9855,95.02416,0
1,557.0537,23235.94,422.3724,61.41033,1404.991,144.3336,243.1916,0
1,7813.295,23204.79,-626.1744,58.33117,1030.308,114.4649,129.8583,0
1,10744.63,23208.89,346.1124,13.90526,5264.003,101.4895,26.03452,0
1,21983.76,23280.65,-1029.468,48.5545,2039.048,113.1198,75.93044,0
1,27620.74,23287.14,-636.856,27.12111,4960.054,73.04523,82.90596,0
1,28069.22,23253.2,-604.1891,50.1916,2073.981,68.5503,72.6294,0
1,24.63321,23400.36,-306.3705,79.68375,1780.603,152.3819,223.3563,0
1,17936.87,23351.88,-757.8619,54.89245,1706.51,110.339,106.8287,0
1,12538.96,23492.78,-150.8504,47.09232,953.3572,101.0757,101.4031,0
1,22246.21,23526.7,799.4817,57.93245,1458.168,108.8988,105.0977,0
1,10757.98,23708.68,745.6259,29.82045,2886.018,104.3522,66.05277,0
1,18648.01,23683.43,-302.645,41.39055,1353.239,108.9893,66.28432,0
1,21614.25,23662.32,919.7074,55.14903,2121.974,113.2004,86.83676,0
1,26243.63,23666.11,-808.3059,49.75031,1881.102,93.26939,130.6273,0
1,24927.69,23895.01,183.3212,24.66099,1846.879,103.6229,51.69232,0
1,27006.2,23917.35,1067.442,30.30097,5648.206,86.54825,44.61353,0
1,27912.19,23845.98,-1010.988,59.70297,2361.131,65.71923,104.8265,0
1,236.6108,24020.94,697.7334,53.91179,1997.592,150.7232,223.2428,0
1,13172.62,23938.49,-1057.831,48.2928,1955.221,102.9143,106.8488,0
1,22426.03,24018.28,-204.7844,52.48125,1101.558,109.9019,116.0722,0
1,27566.97,24045.88,739.4791,33.84503,3727.807,73.47426,86.86838,0
1,906.4128,24183.81,-818.2458,65.51976,2025.579,141.5167,136.3891,0
1,8337.5,24145.81,-397.56,50.2258,880.0831,111.0284,105.1103,0
1,26223.79,24145.3,-597.1006,59.4684,1834.71,91.74492,105.5954,0
1,13461.98,24510.41,517.6763,43.0071,1203.023,100.9238,84.87311,0
1,13926.16,24487.22,-198.597,39.0621,964.3901,102.3039,63.84232,0
1,18962.04,24490.67,408.7396,27.73384,2357.344,112.5248,57.80253,0
1,28671.02,24447.49,-120.3472,47.28219,1206.522,59.40071,85.18349,0
1,254.8658,24635.07,-232.0303,71.36549,1594.594,146.3483,219.7044,0
1,27469.67,24640.58,-896.672,56.49023,2492.775,73.89222,100.424,0
1,852.7946,24789.84,999.2768,53.13867,2137.248,141.2549,77.58585,0
1,19298.48,24947.94,-702.1624,40.07524,1958.869,115.2749,84.12299,0
1,28277.53,24946.11,-870.5926,71.44626,1527.467,62.05578,173.7863,0
1,13691.77,25119.42,1067.108,32.43204,3521.875,101.2019,34.27363,0
1,18524.34,25128.92,552.2296,47.3205,2261.554,116.3642,100.1732,0
1,203.3657,25296.53,262.554,61.49114,1863.243,142.9317,191.8408,0
1,10980.13,25235.75,-334.157,42.70943,1243.519,107.6643,74.07274,0
1,17420.63,25344.6,290.5987,22.51255,6027.943,111.6702,39.64622,0
1,27672.07,25253.29,-1055.783,17.3492,10711.53,73.65498,49.00842,0
1,885.0247,25442.9,856.8577,46.23729,2160.158,142.3257,152.8047,0
1,13184.51,25476.48,873.7964,11.48207,7484.439,101.0131,29.36741,0
1,17787.07,25387.54,-358.7999,8.716696,14431.79,113.9916,20.18565,0
1,18082.19,25437.93,685.6736,65.35061,2039.043,112.5393,137.1826,0
1,22283.62,25415.29,-716.0543,59.69455,1270.552,110.1275,161.2167,0
1,28023.21,25434.88,716.0433,59.21396,1263.714,58.72221,158.5297,0
1,33715.73,25441.94,992.3215,54.44829,712.941,46.93406,77.26039,0
1,1728.196,25624.58,-840.3326,61.45685,1725.176,136.2418,129.9146,0
1,12153.69,25664.58,-497.3186,17.87143,4441.291,103.6703,27.63615,0
1,70.2627,25778.01,-32.48489,57.09744,2272.677,146.1613,345.1194,0
1,800.5129,25749.24,-956.6589,64.00002,2498.476,142.2909,113.4077,0
1,18637.76,25768.96,-700.587,48.60133,2863.747,113.6587,107.693,0
1,24614.19,25743.95,-822.8832,51.36753,1819.213,95.87165,108.1407,0
1,27545.66,25712.08,-998.0538,34.93118,1830.628,81.54802,135.7936,0
1,12744.34,25921.46,20.80002,34.50579,2031.045,98.79414,74.42136,0
1,17458.22,25940.05,-104.5613,58.32526,1780.007,118.0499,118.3468,0
1,23392.04,25900.82,793.6416,57.27189,1301.1,103.2605,137.3724,0
1,26015.65,25933.34,580.8619,52.03886,1004.891,86.26913,146.0339,0
1,24529.45,26064.76,-914.7442,47.46225,1923.066,97.92652,109.6879,0
1,35.06541,26220.61,251.6542,72.52354,2427.38,142.7753,332.1549,0
1,1033.064,26249.34,801.7569,63.72227,1747.706,139.0945,190.0979,0
1,2001.574,26265.23,453.5572,57.61906,1340.645,131.4563,159.6286,0
1,19923.53,26261.02,-1043.086,54.00137,1880.491,117.6007,101.8042,0
1,16847.21,26370.29,-942.3022,48.93031,1771.01,114.599,99.6194,0
1,22290.62,26292.33,-1077.136,38.06216,2414.275,110.3939,48.34458,0
1,23395.21,26340.2,-959.8284,50.812,2146.005,104.8065,79.61334,0
1,27933.4,26485.16,-808.4876,45.05383,1743.497,64.88487,156.0909,0
1,13687.03,26580.08,-395.457,44.17302,4564.317,96.95242,106.9909,0
1,17078.43,26513.3,-767.4612,53.17123,2147.951,113.4509,217.6861,0
1,21135.47,26582.63,237.585,34.11216,1660.675,114.9865,76.26471,0
1,523.545,26720.5,873.1599,52.43546,2630.465,134.1296,165.2356,0
1,1362.974,26679.79,-1034.4,57.08172,2545.947,132.8981,86.53177,0
1,13096.78,26668.76,-1019.295,49.83553,3106.179,102.1439,67.71607,0
1,14078.17,26753.85,572.2881,15.22482,20154.3,91.70809,66.56778,0
1,27797.14,26683.03,-340.1028,27.92519,2165.916,74.98801,52.31536,0
1,14018.75,26802.01,581.7924,19.47729,16984.62,94.90749,44.40587,0
1,20865.32,26838.53,-195.172,57.7003,1188.49,115.7117,107.9202,0
1,30380.49,26941.54,425.2788,16.05653,1815.732,56.18295,29.02138,0
1,27.57035,27046.14,-145.8267,80.72047,2458.275,146.5901,284.7726,0
1,431.9124,27148.84,-787.3444,53.85183,2821.819,135.2758,126.0963,0
1,19095.92,27202.15,502.7457,60.1059,1268.231,122.6627,273.2289,0
1,14405.71,27285.55,-762.8658,45.56046,5409.92,96.51765,74.72733,0
1,18478.54,27381.15,890.5197,59.81199,1630.937,119.4378,159.6593,0
1,570.5513,27524.08,966.7993,49.67281,2956.439,136.311,75.81361,0
1,1397.768,27550.23,-901.4595,48.83975,2335.862,130.2394,106.8169,0
1,15416.33,27500.67,579.7719,45.65997,2044.499,106.9939,100.5874,0
1,35149.39,27461.27,1060.84,38.47666,1374.903,50.70584,37.56107,0
1,12136.25,27650.51,-442.6057,31.07531,1863.258,97.21887,54.49298,0
1,47.01645,27869.51,244.8508,66.44439,2628.455,138.8904,165.4458,0
1,10846.74,27820.1,1016.093,53.17904,1189.326,99.7493,55.0956,0
1,14761.07,27821.4,195.8813,21.06994,5132.316,104.8558,37.68347,0
1,20243.97,27870.46,-705.2418,17.53479,1858.503,107.4965,44.24252,0
1,1683.132,27961.23,814.1309,61.31674,1396.54,128.0778,139.5533,0
1,18728.03,27944.82,-844.3953,66.47535,2049.855,118.6651,125.0165,0
1,19473.35,28040.45,-685.4031,39.15744,2662.328,118.3476,70.37521,0
1,20230.41,27907.24,-725.816,19.8208,1895.757,108.4949,44.89507,0
1,12387.75,28115.56,-865.2645,65.51427,1486.252,93.60345,110.0992,0
1,12736.25,28338.32,-695.9561,58.1451,1427.155,87.48812,108.0198,0
1,15227.94,28491.53,496.8737,51.00886,2232.979,98.4527,130.0799,0
1,16018.66,28444.22,-875.8788,39.93064,3797.783,107.2821,93.21877,0
1,27348.81,28540.32,-124.3088,12.02344,3441.316,73.42329,20.78735,0
1,14113.27,28609.65,858.2493,53.73017,1797.353,95.25439,116.5495,0
1,19147.41,28597.7,415.0257,49.39683,1870.991,122.0058,103.1863,0
