frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,402.8944,2940.369,1504.805,46.69237,590.048,32.56423,116.176,0
1,24155.53,5329.019,394.6403,58.4058,705.8516,40.24829,108.5353,0
1,28756.03,5969.99,2207.687,55.8661,784.6915,33.35764,59.67905,0
1,29501.65,6123.705,447.7787,57.84546,649.5377,33.88172,122.1102,0
1,23814.53,7089.565,321.185,48.72689,880.0757,50.47809,76.27169,0
1,17680.82,7385.1,1757.5725,49.25209,773.8264,55.30729,334.2994,0
1,16616.28,7512.892,228.574,44.69801,1300.951,57.982,84.531,0
1,17633.59,7669.674,274.3866,59.19178,1038.547,57.90399,73.522,0
1,378.2027,8027.448,288.5803,63.87549,1714.205,80.93748,92.75266,0
1,24639.91,8333.447,262.4753,53.26831,1041.435,52.82139,95.29218,0
1,148.02197,8546.452,1011.6376,62.69647,1882.573,88.32684,113.275,0
1,24488.83,8612.272,521.3383,62.08015,813.0435,54.3115,122.0747,0
1,25675.5,8589.445,237.291,60.9675,906.6574,51.57944,80.80645,0
1,141.27682,8990.721,1237.54529,75.30672,1877.411,94.01492,227.257,0
1,25100.12,9454.749,1002.0863,45.85402,613.006,55.85814,82.1441,0
1,618.7865,9779.58,426.5383,53.05472,2050.146,100.6587,111.1166,0
1,1526.521,9929.51,582.4457,57.68929,1198.299,98.72687,180.1365,0
1,155.38883,10111.46,1368.4343,73.84079,1754.151,110.3613,360.3463,0
1,19029.75,10852.01,339.6027,54.17124,1388.491,73.90715,93.0027,0
1,750.2048,11044.31,284.2434,44.22321,2837.864,107.7509,80.90179,0
1,157.777,11227.78,571.8446,65.06156,3582.681,114.3322,139.6696,0
1,20069.96,11158.67,261.7491,61.44363,1459.306,70.06585,81.9098,0
1,1555.318,11369.04,467.8888,67.44829,1621.246,109.3031,150.3129,0
1,16490.66,11464.11,296.2077,46.69569,1430.936,78.75614,80.28201,0
1,341.7581,11660.11,2106.7173,56.95704,2582.142,124.0435,116.2076,0
1,705.9523,11854.89,707.4491,63.9775,2021.811,120.7602,189.6139,0
1,394.6105,12125.83,640.9591,61.61639,2266.298,125.1551,175.4656,0
1,2125.731,12337.9,767.2387,60.15941,1034.558,113.2256,191.1563,0
1,1510.738,12637.73,526.5526,67.86927,1507.315,122.0946,206.4323,0
1,22114.48,12601.72,254.3189,72.21076,1665.427,76.45662,190.8121,0
1,22512.56,12638.23,2056.9961,66.56726,1345.477,75.11445,259.4384,0
1,14217.5,12754.95,594.7519,32.31488,650.4905,83.71083,62.77047,0
1,415.0063,13078.4,316.7331,61.68967,2530.861,135.1981,187.2114,0
1,23222.67,13097.79,492.6431,60.12998,1270.517,73.77211,132.1264,0
1,15179.99,13275.63,540.2028,31.56202,2899.14,87.58697,70.9604,0
1,667.3527,13410.22,2116.5168,63.72754,2014.459,131.2469,156.9711,0
1,13732.69,13415.49,1636.0554,44.59484,1106.366,87.61593,85.43674,0
1,15887.78,13439.8,1706.9719,12.8855,6446.238,92.50101,29.47835,0
1,15921.47,13448.03,1684.6005,10.78248,5583.406,91.94964,27.45289,0
1,18168.24,13472.02,2002.6679,50.08117,2268.021,89.74419,133.2478,0
1,173.34512,13568.02,882.4669,65.65164,2574.867,138.2439,143.1598,0
1,12889.39,13601.73,1222.84072,9.685017,5677.843,95.07483,19.54652,0
1,19298.15,13582.61,1488.6716,12.31532,7420.193,97.97684,23.79695,0
1,24759.62,13581.48,2235.1306,53.76654,2091.126,76.15136,55.36219,0
1,17562.81,13702.01,2036.0308,15.79233,7569.843,88.09061,33.19412,0
1,19866.74,13683.53,1484.8076,18.55117,1422.856,99.06915,69.98975,0
1,20432.07,13787.15,1810.9459,34.02303,5373.17,98.90862,81.29959,0
1,13422.68,13850.39,677.6006,52.76657,1039.468,92.21569,99.60583,0
1,20894.53,13880.23,1334.28105,16.85861,5440.634,97.75584,247.1124,0
1,151.88432,14054.9,913.5767,80.90915,1902.18,141.2316,197.1691,0
